Year,Region,Poverty rate,Poverty Line
2020,Greece,0.81,$2.15
1986,Guatemala,49.7,$2.15
1989,Guatemala,37,$2.15
1998,Guatemala,14,$2.15
2000,Guatemala,9.61,$2.15
2006,Guatemala,11.65,$2.15
2014,Guatemala,9.52,$2.15
1991,Guinea,87.87,$2.15
1994,Guinea,40.79,$2.15
2002,Guinea,53.19,$2.15
2007,Guinea,47.89,$2.15
2012,Guinea,24.54,$2.15
2018,Guinea,13.82,$2.15
1991,Guinea-Bissau,42.71,$2.15
1993,Guinea-Bissau,42.23,$2.15
2002,Guinea-Bissau,53.17,$2.15
2010,Guinea-Bissau,66.69,$2.15
2018,Guinea-Bissau,21.66,$2.15
1992,Guyana,29.38,$2.15
1998,Guyana,11.9,$2.15
2001,Haiti,67.83,$2.15
2012,Haiti,29.19,$2.15
2012,Haiti,57.88,$2.15
1986,Honduras,49.41,$2.15
1989,Honduras,39.96,$2.15
1990,Honduras,42,$2.15
1991,Honduras,30.77,$2.15
1992,Honduras,26.97,$2.15
1993,Honduras,21.43,$2.15
1994,Honduras,24.3,$2.15
1995,Honduras,26.23,$2.15
1996,Honduras,28.55,$2.15
1997,Honduras,19.59,$2.15
1998,Honduras,24.54,$2.15
1999,Honduras,24.93,$2.15
2001,Honduras,19.84,$2.15
2002,Honduras,22,$2.15
2003,Honduras,26.5,$2.15
2004,Honduras,25.43,$2.15
2005,Honduras,25.07,$2.15
2006,Honduras,21.14,$2.15
2007,Honduras,15.64,$2.15
2008,Honduras,15.24,$2.15
2009,Honduras,12.32,$2.15
2010,Honduras,13.8,$2.15
2011,Honduras,14.32,$2.15
2012,Honduras,16.99,$2.15
2013,Honduras,14.57,$2.15
2014,Honduras,13.28,$2.15
2015,Honduras,12.98,$2.15
2016,Honduras,14.61,$2.15
2017,Honduras,13.86,$2.15
2018,Honduras,14.23,$2.15
2019,Honduras,12.74,$2.15
1987,Hungary,0.06,$2.15
1989,Hungary,0.08,$2.15
1991,Hungary,1.68,$2.15
1993,Hungary,0.19,$2.15
1994,Hungary,1.24,$2.15
1998,Hungary,0.05,$2.15
1999,Hungary,0.07,$2.15
1999,Hungary,0.21,$2.15
2000,Hungary,0.06,$2.15
2001,Hungary,0,$2.15
2002,Hungary,0,$2.15
2003,Hungary,0.02,$2.15
2004,Hungary,0,$2.15
2004,Hungary,0.1,$2.15
2005,Hungary,0,$2.15
2005,Hungary,0.72,$2.15
2006,Hungary,0,$2.15
2006,Hungary,0.14,$2.15
2007,Hungary,0,$2.15
2007,Hungary,0.15,$2.15
2008,Hungary,0.02,$2.15
2009,Hungary,0.06,$2.15
2010,Hungary,0.07,$2.15
2011,Hungary,0.09,$2.15
2012,Hungary,0.33,$2.15
2013,Hungary,0.18,$2.15
2014,Hungary,0.66,$2.15
2015,Hungary,0.63,$2.15
2016,Hungary,1.35,$2.15
2017,Hungary,0.61,$2.15
2018,Hungary,0.21,$2.15
2019,Hungary,0.3,$2.15
2020,Hungary,0.35,$2.15
2003,Iceland,0,$2.15
2004,Iceland,0.17,$2.15
2005,Iceland,0.04,$2.15
2006,Iceland,0.15,$2.15
2007,Iceland,0.08,$2.15
2008,Iceland,0.06,$2.15
2009,Iceland,0.1,$2.15
2010,Iceland,0.15,$2.15
2011,Iceland,0.12,$2.15
2012,Iceland,0.03,$2.15
2013,Iceland,0.05,$2.15
2014,Iceland,0,$2.15
2015,Iceland,0.03,$2.15
2016,Iceland,0,$2.15
2017,Iceland,0,$2.15
1977,India,68.6,$2.15
1977,India,43.68,$2.15
1977,India,63.11,$2.15
1983,India,62.09,$2.15
1983,India,37.67,$2.15
1983,India,56.26,$2.15
1987,India,55.2,$2.15
1987,India,36.62,$2.15
1987,India,50.59,$2.15
1993,India,53.49,$2.15
1993,India,31.17,$2.15
1993,India,47.64,$2.15
2004,India,45.32,$2.15
2004,India,26.61,$2.15
2004,India,39.91,$2.15
2009,India,37.96,$2.15
2009,India,21.31,$2.15
2009,India,32.87,$2.15
2011,India,26.32,$2.15
2011,India,14.22,$2.15
2011,India,22.53,$2.15
2015,India,22,$2.15
2015,India,12.02,$2.15
2015,India,18.73,$2.15
2016,India,20.09,$2.15
2016,India,14.11,$2.15
2016,India,18.11,$2.15
2017,India,14.6,$2.15
2017,India,10.94,$2.15
2017,India,13.37,$2.15
2018,India,11.68,$2.15
2018,India,9.94,$2.15
2018,India,11.09,$2.15
2019,India,11.92,$2.15
2019,India,6.39,$2.15
2019,India,10.01,$2.15
1984,Indonesia,83.3,$2.15
1984,Indonesia,47.12,$2.15
1984,Indonesia,74.17,$2.15
1987,Indonesia,82.62,$2.15
1987,Indonesia,52.81,$2.15
1987,Indonesia,74.32,$2.15
1990,Indonesia,73.09,$2.15
1990,Indonesia,39.28,$2.15
1990,Indonesia,62.75,$2.15
1993,Indonesia,74.12,$2.15
1993,Indonesia,38.56,$2.15
1993,Indonesia,62.1,$2.15
1996,Indonesia,64.02,$2.15
1996,Indonesia,29.81,$2.15
1996,Indonesia,51.28,$2.15
1998,Indonesia,81.54,$2.15
1998,Indonesia,50.18,$2.15
1998,Indonesia,69.12,$2.15
1999,Indonesia,56.62,$2.15
1999,Indonesia,30.5,$2.15
1999,Indonesia,45.97,$2.15
2000,Indonesia,53.88,$2.15
2000,Indonesia,29.41,$2.15
2000,Indonesia,43.6,$2.15
2001,Indonesia,51.22,$2.15
2001,Indonesia,24.7,$2.15
2001,Indonesia,39.87,$2.15
2002,Indonesia,38.15,$2.15
2002,Indonesia,12.09,$2.15
2002,Indonesia,26.79,$2.15
2003,Indonesia,36.95,$2.15
2003,Indonesia,13.27,$2.15
2003,Indonesia,26.45,$2.15
2004,Indonesia,38.42,$2.15
2004,Indonesia,13.16,$2.15
2004,Indonesia,27.01,$2.15
2005,Indonesia,35.56,$2.15
2005,Indonesia,11.8,$2.15
2005,Indonesia,24.64,$2.15
2006,Indonesia,43.1,$2.15
2006,Indonesia,16.33,$2.15
2006,Indonesia,30.59,$2.15
2007,Indonesia,35.89,$2.15
2007,Indonesia,13.51,$2.15
2007,Indonesia,25.25,$2.15
2008,Indonesia,34.19,$2.15
2008,Indonesia,14.65,$2.15
2008,Indonesia,24.75,$2.15
2009,Indonesia,28.88,$2.15
2009,Indonesia,12.76,$2.15
2009,Indonesia,20.96,$2.15
2010,Indonesia,25.33,$2.15
2010,Indonesia,11.15,$2.15
2010,Indonesia,18.25,$2.15
2011,Indonesia,21.6,$2.15
2011,Indonesia,9.93,$2.15
2011,Indonesia,15.69,$2.15
2012,Indonesia,18.85,$2.15
2012,Indonesia,8.87,$2.15
2012,Indonesia,13.74,$2.15
2013,Indonesia,14.9,$2.15
2013,Indonesia,7.73,$2.15
2013,Indonesia,11.18,$2.15
2014,Indonesia,11.94,$2.15
2014,Indonesia,6.85,$2.15
2014,Indonesia,9.26,$2.15
2015,Indonesia,10.22,$2.15
2015,Indonesia,6.57,$2.15
2015,Indonesia,8.28,$2.15
2016,Indonesia,9.55,$2.15
2016,Indonesia,5.79,$2.15
2016,Indonesia,7.52,$2.15
2017,Indonesia,8.42,$2.15
2017,Indonesia,5.13,$2.15
2017,Indonesia,6.62,$2.15
2018,Indonesia,7.16,$2.15
2018,Indonesia,4.03,$2.15
2018,Indonesia,5.42,$2.15
2019,Indonesia,5.89,$2.15
2019,Indonesia,3.19,$2.15
2019,Indonesia,4.38,$2.15
2020,Indonesia,5.08,$2.15
2020,Indonesia,2.87,$2.15
2020,Indonesia,3.83,$2.15
2021,Indonesia,4.62,$2.15
2021,Indonesia,2.75,$2.15
2021,Indonesia,3.55,$2.15
2022,Indonesia,3.12,$2.15
2022,Indonesia,2,$2.15
2022,Indonesia,2.47,$2.15
1986,"Iran, Islamic Rep.",9.14,$2.15
1990,"Iran, Islamic Rep.",8.43,$2.15
1994,"Iran, Islamic Rep.",4.48,$2.15
1998,"Iran, Islamic Rep.",4.53,$2.15
2005,"Iran, Islamic Rep.",1.02,$2.15
2006,"Iran, Islamic Rep.",0.85,$2.15
2009,"Iran, Islamic Rep.",1.49,$2.15
2013,"Iran, Islamic Rep.",0.27,$2.15
2014,"Iran, Islamic Rep.",0.79,$2.15
2015,"Iran, Islamic Rep.",0.72,$2.15
2016,"Iran, Islamic Rep.",0.69,$2.15
2017,"Iran, Islamic Rep.",0.63,$2.15
2018,"Iran, Islamic Rep.",0.86,$2.15
2019,"Iran, Islamic Rep.",0.97,$2.15
2006,Iraq,0.04,$2.15
2012,Iraq,0.09,$2.15
1987,Ireland,0.69,$2.15
1994,Ireland,0.16,$2.15
1995,Ireland,0.18,$2.15
1996,Ireland,0.22,$2.15
2000,Ireland,0.18,$2.15
2002,Ireland,0.24,$2.15
2003,Ireland,0.13,$2.15
2004,Ireland,0.05,$2.15
2005,Ireland,0.02,$2.15
2006,Ireland,0.4,$2.15
2007,Ireland,0.1,$2.15
2008,Ireland,0.18,$2.15
2009,Ireland,0.49,$2.15
2010,Ireland,0.54,$2.15
2011,Ireland,0.54,$2.15
2012,Ireland,0.34,$2.15
2013,Ireland,0.68,$2.15
2014,Ireland,0.39,$2.15
2015,Ireland,0.37,$2.15
2016,Ireland,0.13,$2.15
2017,Ireland,0.24,$2.15
2018,Ireland,0,$2.15
2019,Ireland,0.06,$2.15
2020,Ireland,0.14,$2.15
1979,Israel,0,$2.15
1986,Israel,0.24,$2.15
1992,Israel,0.22,$2.15
1997,Israel,0.25,$2.15
2001,Israel,0.25,$2.15
2002,Israel,0.48,$2.15
2003,Israel,0.46,$2.15
2004,Israel,0.5,$2.15
2005,Israel,0.48,$2.15
2006,Israel,0.22,$2.15
2007,Israel,0.49,$2.15
2008,Israel,0.48,$2.15
2009,Israel,0.49,$2.15
2010,Israel,0.23,$2.15
2011,Israel,0.23,$2.15
2012,Israel,0.74,$2.15
2013,Israel,0.45,$2.15
2014,Israel,0.49,$2.15
2015,Israel,0.49,$2.15
2016,Israel,0.24,$2.15
2017,Israel,0.46,$2.15
2018,Israel,0.5,$2.15
1986,Italy,0.21,$2.15
1987,Italy,1.24,$2.15
1989,Italy,0,$2.15
1991,Italy,0.25,$2.15
1993,Italy,1.22,$2.15
1995,Italy,0.74,$2.15
1998,Italy,1.74,$2.15
2000,Italy,1.25,$2.15
2003,Italy,0.77,$2.15
2004,Italy,0.6,$2.15
2005,Italy,0.65,$2.15
2006,Italy,0.65,$2.15
2007,Italy,0.68,$2.15
2008,Italy,0.7,$2.15
2009,Italy,0.91,$2.15
2010,Italy,1.27,$2.15
2011,Italy,1.16,$2.15
2012,Italy,1.2,$2.15
2013,Italy,1.37,$2.15
2014,Italy,1.23,$2.15
2015,Italy,1.95,$2.15
2016,Italy,1.63,$2.15
2017,Italy,1.42,$2.15
2018,Italy,1.46,$2.15
2019,Italy,0.99,$2.15
2020,Italy,0.83,$2.15
2008,Japan,0.48,$2.15
2010,Japan,0,$2.15
2013,Japan,0.73,$2.15
1986,Jordan,0,$2.15
1992,Jordan,0.64,$2.15
1997,Jordan,0.41,$2.15
2002,Jordan,0.2,$2.15
2006,Jordan,0.09,$2.15
2008,Jordan,0.01,$2.15
2010,Jordan,0.04,$2.15
1993,Kazakhstan,8.44,$2.15
1996,Kazakhstan,7.94,$2.15
2001,Kazakhstan,12.81,$2.15
2002,Kazakhstan,8.89,$2.15
2003,Kazakhstan,6.17,$2.15
2004,Kazakhstan,3.32,$2.15
2005,Kazakhstan,8.66,$2.15
2006,Kazakhstan,1.01,$2.15
2007,Kazakhstan,0.39,$2.15
2008,Kazakhstan,0.24,$2.15
2009,Kazakhstan,0.24,$2.15
2010,Kazakhstan,0.2,$2.15
2011,Kazakhstan,0.07,$2.15
2012,Kazakhstan,0.04,$2.15
2013,Kazakhstan,0.03,$2.15
2014,Kazakhstan,0.02,$2.15
2015,Kazakhstan,0.04,$2.15
2016,Kazakhstan,0.05,$2.15
2017,Kazakhstan,0.04,$2.15
2018,Kazakhstan,0.02,$2.15
1992,Kenya,26.45,$2.15
1994,Kenya,25.88,$2.15
1997,Kenya,25.39,$2.15
2005,Kenya,36.67,$2.15
2015,Kenya,29.37,$2.15
2006,"Korea, Rep.",0.25,$2.15
2008,"Korea, Rep.",0.24,$2.15
2010,"Korea, Rep.",0.5,$2.15
2012,"Korea, Rep.",0.25,$2.15
2014,"Korea, Rep.",0.24,$2.15
2016,"Korea, Rep.",0.23,$2.15
1981,Latin America & Caribbean,15.11,$2.15
1982,Latin America & Caribbean,15.82,$2.15
1983,Latin America & Caribbean,18.71,$2.15
1984,Latin America & Caribbean,18.45,$2.15
1985,Latin America & Caribbean,17.08,$2.15
1986,Latin America & Caribbean,12.37,$2.15
1987,Latin America & Caribbean,15.12,$2.15
1988,Latin America & Caribbean,16.14,$2.15
1989,Latin America & Caribbean,15.52,$2.15
1990,Latin America & Caribbean,16.78,$2.15
1991,Latin America & Caribbean,16.13,$2.15
1992,Latin America & Caribbean,15.91,$2.15
1993,Latin America & Caribbean,15.67,$2.15
1994,Latin America & Caribbean,14.43,$2.15
1995,Latin America & Caribbean,14.43,$2.15
1996,Latin America & Caribbean,16.16,$2.15
1997,Latin America & Caribbean,15.33,$2.15
1998,Latin America & Caribbean,14.5,$2.15
1999,Latin America & Caribbean,14.67,$2.15
2000,Latin America & Caribbean,13.52,$2.15
2001,Latin America & Caribbean,13.23,$2.15
2002,Latin America & Caribbean,12.43,$2.15
2003,Latin America & Caribbean,12.13,$2.15
2004,Latin America & Caribbean,11.04,$2.15
2005,Latin America & Caribbean,10.45,$2.15
2006,Latin America & Caribbean,8.51,$2.15
2007,Latin America & Caribbean,8.05,$2.15
2008,Latin America & Caribbean,7.5,$2.15
2009,Latin America & Caribbean,7.11,$2.15
2010,Latin America & Caribbean,6.43,$2.15
2011,Latin America & Caribbean,5.97,$2.15
2012,Latin America & Caribbean,5.07,$2.15
2013,Latin America & Caribbean,4.53,$2.15
2014,Latin America & Caribbean,4.27,$2.15
2015,Latin America & Caribbean,4.18,$2.15
2016,Latin America & Caribbean,4.4,$2.15
2017,Latin America & Caribbean,4.37,$2.15
2018,Latin America & Caribbean,4.28,$2.15
2019,Latin America & Caribbean,4.32,$2.15
2020,Latin America & Caribbean,3.94,$2.15
2021,Latin America & Caribbean,4.69,$2.15
1993,Latvia,0.02,$2.15
1995,Latvia,0.03,$2.15
1996,Latvia,1.77,$2.15
1997,Latvia,2.2,$2.15
1998,Latvia,1.76,$2.15
2002,Latvia,0.72,$2.15
2003,Latvia,0.6,$2.15
2004,Latvia,0.28,$2.15
2004,Latvia,2.49,$2.15
2005,Latvia,2.36,$2.15
2006,Latvia,1.55,$2.15
2007,Latvia,0.02,$2.15
2007,Latvia,0.64,$2.15
2008,Latvia,0.03,$2.15
2008,Latvia,1.28,$2.15
2009,Latvia,0.35,$2.15
2009,Latvia,1.7,$2.15
2010,Latvia,1.73,$2.15
2011,Latvia,1.03,$2.15
2012,Latvia,1.07,$2.15
2013,Latvia,1.17,$2.15
2014,Latvia,0.79,$2.15
2015,Latvia,0.65,$2.15
2016,Latvia,0.65,$2.15
2017,Latvia,0.8,$2.15
2018,Latvia,0.36,$2.15
2019,Latvia,0.24,$2.15
2020,Latvia,0.46,$2.15
2011,Lebanon,0,$2.15
1986,Lesotho,54.08,$2.15
1994,Lesotho,53.75,$2.15
2002,Lesotho,66.34,$2.15
2017,Lesotho,32.4,$2.15
1993,Lithuania,6.62,$2.15
1996,Lithuania,0,$2.15
1998,Lithuania,0.32,$2.15
1999,Lithuania,0.29,$2.15
2000,Lithuania,0.25,$2.15
2001,Lithuania,0.58,$2.15
2002,Lithuania,0.5,$2.15
2003,Lithuania,0.19,$2.15
2004,Lithuania,0.09,$2.15
2004,Lithuania,2.71,$2.15
2005,Lithuania,1.78,$2.15
2006,Lithuania,1.52,$2.15
2007,Lithuania,1.34,$2.15
2008,Lithuania,0.15,$2.15
2008,Lithuania,1.39,$2.15
2009,Lithuania,2.24,$2.15
2010,Lithuania,1.53,$2.15
2011,Lithuania,0.7,$2.15
2012,Lithuania,0.95,$2.15
2013,Lithuania,0.71,$2.15
2014,Lithuania,1.26,$2.15
2015,Lithuania,0.72,$2.15
2016,Lithuania,1.27,$2.15
2017,Lithuania,1.02,$2.15
2018,Lithuania,0.93,$2.15
2019,Lithuania,0.55,$2.15
2020,Lithuania,0.19,$2.15
1985,Luxembourg,0,$2.15
1991,Luxembourg,0,$2.15
1994,Luxembourg,0,$2.15
1997,Luxembourg,0,$2.15
2000,Luxembourg,0,$2.15
2003,Luxembourg,0.07,$2.15
2004,Luxembourg,0.02,$2.15
2005,Luxembourg,0.03,$2.15
2006,Luxembourg,0,$2.15
2007,Luxembourg,0.02,$2.15
2008,Luxembourg,0,$2.15
2009,Luxembourg,0.04,$2.15
2010,Luxembourg,0,$2.15
2011,Luxembourg,0.12,$2.15
2012,Luxembourg,0.04,$2.15
2013,Luxembourg,0.09,$2.15
2014,Luxembourg,0.14,$2.15
2015,Luxembourg,0.3,$2.15
2016,Luxembourg,0.12,$2.15
2017,Luxembourg,0.28,$2.15
2018,Luxembourg,0.28,$2.15
2019,Luxembourg,0.1,$2.15
2020,Luxembourg,0,$2.15
1980,Madagascar,48.7,$2.15
1993,Madagascar,73.25,$2.15
1997,Madagascar,69.37,$2.15
1999,Madagascar,66.87,$2.15
2001,Madagascar,71,$2.15
2005,Madagascar,74.22,$2.15
2010,Madagascar,80.15,$2.15
2012,Madagascar,80.73,$2.15
1997,Malawi,58.45,$2.15
2004,Malawi,68.86,$2.15
2010,Malawi,68.42,$2.15
2016,Malawi,65.74,$2.15
2019,Malawi,70.06,$2.15
1984,Malaysia,3.6,$2.15
1987,Malaysia,2.87,$2.15
1989,Malaysia,2.24,$2.15
1992,Malaysia,2.04,$2.15
1995,Malaysia,2.48,$2.15
1997,Malaysia,0.72,$2.15
2003,Malaysia,1.57,$2.15
2006,Malaysia,0.77,$2.15
2008,Malaysia,0.7,$2.15
2011,Malaysia,0.14,$2.15
2013,Malaysia,0.03,$2.15
2015,Malaysia,0.02,$2.15
2018,Malaysia,0.01,$2.15
2002,Maldives,6.61,$2.15
2009,Maldives,3.77,$2.15
2016,Maldives,0,$2.15
2019,Maldives,0,$2.15
1994,Mali,84.5,$2.15
2001,Mali,57.15,$2.15
2006,Mali,49.68,$2.15
2009,Mali,48.17,$2.15
2018,Mali,14.79,$2.15
2006,Malta,0.51,$2.15
2007,Malta,0.41,$2.15
2008,Malta,0.11,$2.15
2009,Malta,0.43,$2.15
2010,Malta,0.22,$2.15
2011,Malta,0.19,$2.15
2012,Malta,0.12,$2.15
2013,Malta,0.03,$2.15
2014,Malta,0,$2.15
2015,Malta,0.08,$2.15
2016,Malta,0.09,$2.15
2017,Malta,0.16,$2.15
2018,Malta,0.1,$2.15
2019,Malta,0.3,$2.15
2020,Malta,0.26,$2.15
1987,Mauritania,41.37,$2.15
1993,Mauritania,42.85,$2.15
1995,Mauritania,21.83,$2.15
2000,Mauritania,21.49,$2.15
2004,Mauritania,18.13,$2.15
2008,Mauritania,11.84,$2.15
2014,Mauritania,6.49,$2.15
2006,Mauritius,0.31,$2.15
2012,Mauritius,0.41,$2.15
2017,Mauritius,0.13,$2.15
1984,Mexico,8.31,$2.15
1989,Mexico,9.05,$2.15
1992,Mexico,7.38,$2.15
1994,Mexico,7.31,$2.15
1996,Mexico,18.1,$2.15
1998,Mexico,12.9,$2.15
2000,Mexico,8.92,$2.15
2002,Mexico,6.59,$2.15
2004,Mexico,5.95,$2.15
2005,Mexico,6.54,$2.15
2006,Mexico,4.15,$2.15
2008,Mexico,5.36,$2.15
2010,Mexico,4.52,$2.15
2012,Mexico,3.84,$2.15
2014,Mexico,3.71,$2.15
2016,Mexico,3.21,$2.15
2018,Mexico,2.63,$2.15
2020,Mexico,3.1,$2.15
2000,"Micronesia, Fed. Sts.",43.45,$2.15
2005,"Micronesia, Fed. Sts.",8.56,$2.15
2013,"Micronesia, Fed. Sts.",16.03,$2.15
1995,Mongolia,14.91,$2.15
1998,Mongolia,28.45,$2.15
2002,Mongolia,11.61,$2.15
2007,Mongolia,1.7,$2.15
2010,Mongolia,1.14,$2.15
2011,Mongolia,0.86,$2.15
2012,Mongolia,0.47,$2.15
2014,Mongolia,0.33,$2.15
2016,Mongolia,0.71,$2.15
2018,Mongolia,0.71,$2.15
2005,Montenegro,0.23,$2.15
2006,Montenegro,0,$2.15
2007,Montenegro,0.36,$2.15
2008,Montenegro,0.09,$2.15
2009,Montenegro,0,$2.15
2010,Montenegro,0,$2.15
2011,Montenegro,0.21,$2.15
2012,Montenegro,1.26,$2.15
2012,Montenegro,3.03,$2.15
2013,Montenegro,1.04,$2.15
2013,Montenegro,3.03,$2.15
2014,Montenegro,0,$2.15
2014,Montenegro,1.63,$2.15
2015,Montenegro,1.35,$2.15
2016,Montenegro,2.47,$2.15
2017,Montenegro,3.31,$2.15
2018,Montenegro,2.84,$2.15
1984,Morocco,13.2,$2.15
1990,Morocco,4.73,$2.15
1998,Morocco,8.38,$2.15
2000,Morocco,7.93,$2.15
2006,Morocco,4.24,$2.15
2013,Morocco,1.44,$2.15
1996,Mozambique,82.68,$2.15
2002,Mozambique,80.59,$2.15
2008,Mozambique,70.8,$2.15
2014,Mozambique,64.64,$2.15
2015,Myanmar,6.22,$2.15
2017,Myanmar,1.99,$2.15
1993,Namibia,53.52,$2.15
2003,Namibia,35.86,$2.15
2009,Namibia,26.94,$2.15
2015,Namibia,15.62,$2.15
1984,Nepal,68.46,$2.15
1995,Nepal,55.16,$2.15
2003,Nepal,40.31,$2.15
2010,Nepal,8.24,$2.15
1983,Netherlands,0.46,$2.15
1987,Netherlands,0.25,$2.15
1990,Netherlands,0.95,$2.15
1993,Netherlands,1.25,$2.15
1999,Netherlands,0.2,$2.15
2004,Netherlands,0.24,$2.15
2005,Netherlands,0.15,$2.15
2006,Netherlands,0.05,$2.15
2007,Netherlands,0.03,$2.15
2008,Netherlands,0.13,$2.15
2009,Netherlands,0.11,$2.15
2010,Netherlands,0.05,$2.15
2011,Netherlands,0.1,$2.15
2012,Netherlands,0.08,$2.15
2013,Netherlands,0.09,$2.15
2014,Netherlands,0.06,$2.15
2015,Netherlands,0.06,$2.15
2016,Netherlands,0.05,$2.15
2017,Netherlands,0.19,$2.15
2018,Netherlands,0.1,$2.15
2019,Netherlands,0.1,$2.15
2020,Netherlands,0.03,$2.15
1993,Nicaragua,23.04,$2.15
1993,Nicaragua,38.31,$2.15
1998,Nicaragua,17.56,$2.15
1998,Nicaragua,25.76,$2.15
2001,Nicaragua,18.79,$2.15
2001,Nicaragua,17.81,$2.15
2005,Nicaragua,17.26,$2.15
2005,Nicaragua,9.1,$2.15
2009,Nicaragua,8.28,$2.15
2014,Nicaragua,3.94,$2.15
1992,Niger,84.36,$2.15
1994,Niger,85.52,$2.15
2005,Niger,80.5,$2.15
2007,Niger,78.89,$2.15
2011,Niger,60.56,$2.15
2014,Niger,53.56,$2.15
2018,Niger,50.63,$2.15
1985,Nigeria,47.82,$2.15
1992,Nigeria,52.35,$2.15
1996,Nigeria,58.42,$2.15
2003,Nigeria,47.88,$2.15
2010,Nigeria,34.89,$2.15
2012,Nigeria,33.83,$2.15
2015,Nigeria,32.26,$2.15
2018,Nigeria,30.86,$2.15
1998,North Macedonia,1.14,$2.15
2000,North Macedonia,5.22,$2.15
2002,North Macedonia,1.46,$2.15
2003,North Macedonia,1.24,$2.15
2004,North Macedonia,0.77,$2.15
2005,North Macedonia,1.5,$2.15
2006,North Macedonia,2.84,$2.15
2008,North Macedonia,0.64,$2.15
2009,North Macedonia,9.77,$2.15
2010,North Macedonia,10.45,$2.15
2011,North Macedonia,9.09,$2.15
2012,North Macedonia,6.91,$2.15
2013,North Macedonia,5.23,$2.15
2014,North Macedonia,4.52,$2.15
2015,North Macedonia,5.5,$2.15
2016,North Macedonia,4.24,$2.15
2017,North Macedonia,4.49,$2.15
2018,North Macedonia,3.4,$2.15
2019,North Macedonia,2.66,$2.15
1979,Norway,0.23,$2.15
1986,Norway,0.24,$2.15
1991,Norway,0.48,$2.15
1995,Norway,0.49,$2.15
2000,Norway,0.24,$2.15
2003,Norway,0.2,$2.15
2004,Norway,0.26,$2.15
2005,Norway,0.2,$2.15
2006,Norway,0.13,$2.15
2007,Norway,0.13,$2.15
2008,Norway,0.23,$2.15
2009,Norway,0.09,$2.15
2010,Norway,0.15,$2.15
2011,Norway,0.1,$2.15
2012,Norway,0.12,$2.15
2013,Norway,0.13,$2.15
2014,Norway,0.11,$2.15
2015,Norway,0.17,$2.15
2016,Norway,0.28,$2.15
2017,Norway,0.29,$2.15
2018,Norway,0.25,$2.15
2019,Norway,0.16,$2.15
1987,Pakistan,67.34,$2.15
1990,Pakistan,65.11,$2.15
1996,Pakistan,22.29,$2.15
1998,Pakistan,29.78,$2.15
2001,Pakistan,33.28,$2.15
2004,Pakistan,20.2,$2.15
2005,Pakistan,20.3,$2.15
2007,Pakistan,14.9,$2.15
2010,Pakistan,9.38,$2.15
2011,Pakistan,9.59,$2.15
2013,Pakistan,7.36,$2.15
2015,Pakistan,5.11,$2.15
2018,Pakistan,4.93,$2.15
1979,Panama,6.25,$2.15
1989,Panama,22.48,$2.15
1991,Panama,20.11,$2.15
1995,Panama,15.48,$2.15
1997,Panama,14.22,$2.15
1998,Panama,14.46,$2.15
1999,Panama,12.28,$2.15
2000,Panama,11.07,$2.15
2001,Panama,14.06,$2.15
2002,Panama,9.56,$2.15
2003,Panama,9.92,$2.15
2004,Panama,8.79,$2.15
2005,Panama,8.56,$2.15
2006,Panama,9.39,$2.15
2007,Panama,6.67,$2.15
2008,Panama,4.07,$2.15
2009,Panama,2.53,$2.15
2010,Panama,3.39,$2.15
2011,Panama,2.45,$2.15
2012,Panama,3.47,$2.15
2013,Panama,2.24,$2.15
2014,Panama,2.89,$2.15
2015,Panama,1.51,$2.15
2016,Panama,1.52,$2.15
2017,Panama,2.1,$2.15
2018,Panama,1.41,$2.15
2019,Panama,1,$2.15
2021,Panama,1.11,$2.15
1996,Papua New Guinea,52.64,$2.15
2009,Papua New Guinea,39.68,$2.15
1990,Paraguay,1.19,$2.15
1995,Paraguay,12.4,$2.15
1997,Paraguay,10.55,$2.15
1999,Paraguay,10.21,$2.15
2001,Paraguay,8.94,$2.15
2002,Paraguay,13.24,$2.15
2003,Paraguay,8.3,$2.15
2004,Paraguay,5.71,$2.15
2005,Paraguay,6.07,$2.15
2006,Paraguay,7.95,$2.15
2007,Paraguay,7.84,$2.15
2008,Paraguay,4.32,$2.15
2009,Paraguay,5.77,$2.15
2010,Paraguay,5.46,$2.15
2011,Paraguay,5.05,$2.15
2012,Paraguay,3.33,$2.15
2013,Paraguay,1.79,$2.15
2014,Paraguay,2.41,$2.15
2015,Paraguay,1.89,$2.15
2016,Paraguay,1.69,$2.15
2017,Paraguay,0.98,$2.15
2018,Paraguay,1.41,$2.15
2019,Paraguay,1.01,$2.15
2020,Paraguay,0.81,$2.15
2021,Paraguay,0.69,$2.15
1985,Peru,3.52,$2.15
1994,Peru,17.41,$2.15
1997,Peru,19.84,$2.15
1998,Peru,19.45,$2.15
1999,Peru,19.34,$2.15
2000,Peru,19.27,$2.15
2001,Peru,20.25,$2.15
2002,Peru,17.55,$2.15
2003,Peru,14.66,$2.15
2004,Peru,16.31,$2.15
2005,Peru,17.81,$2.15
2006,Peru,15.6,$2.15
2007,Peru,13.22,$2.15
2008,Peru,10.92,$2.15
2009,Peru,8.81,$2.15
2010,Peru,6.82,$2.15
2011,Peru,6.5,$2.15
2012,Peru,6.08,$2.15
2013,Peru,5.4,$2.15
2014,Peru,4.82,$2.15
2015,Peru,4.72,$2.15
2016,Peru,4.6,$2.15
2017,Peru,4.5,$2.15
2018,Peru,3.58,$2.15
2019,Peru,3,$2.15
